Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,ZEEL
2000-01-03,,381.65,,,,,399.25,756.9,1457.35,,1508.25,48.85,68.7,438.3,,293.5,170.0,,,,74.75,28.95,,270.85,708.5,,,,,,,213.45,,251.7,243.65,64.75,1835.05,,,,,155.7,,,,2724.2,
2000-01-04,,385.55,,,,,370.5,754.55,1465.25,,1628.95,51.4,66.35,437.15,,304.05,173.8,,,,73.05,30.25,,264.4,712.35,,,,,,,206.55,,271.85,259.1,59.85,1810.45,,,,,147.4,,,,2942.15,
2000-01-05,,383.0,,,,,359.95,735.3,1435.05,,1568.05,55.55,63.2,439.6,,292.8,166.95,,,,69.5,28.15,,261.3,726.2,,,,,,,223.1,,282.5,248.45,60.0,1746.9,,,,,138.4,,,,2990.1,
2000-01-06,,377.5,,,,,380.3,785.65,1355.85,,1661.55,60.0,64.95,474.8,,296.45,168.3,,,,70.05,28.0,,260.1,784.3,,,,,,,219.3,,294.35,261.0,60.6,1745.2,,,,,149.5,,,,2932.25,
2000-01-07,,385.7,,,,,379.85,848.5,1247.55,,1529.1,64.65,62.65,512.8,,286.55,168.35,,,,67.4,27.05,,264.45,847.05,,,,,,,215.75,,314.55,273.3,60.45,1605.6,,,,,146.35,,,,2697.7,
2000-01-10,,415.0,,,,,384.95,912.2,1205.9,,1503.9,65.5,62.3,501.95,,287.2,165.9,,,,69.9,27.5,,251.35,914.85,,,,,,,209.5,,308.5,269.5,57.35,1531.85,,,,,144.9,,,,2701.35,
2000-01-11,,415.2,,,,,372.8,853.75,1114.25,,1446.6,61.6,59.8,474.3,1554.45,283.85,163.4,,,,69.35,26.35,,239.75,883.7,,,,,,,195.1,,288.5,247.95,54.1,1507.2,,,,,141.0,,,,2485.45,
2000-01-12,,417.65,,,,,378.0,882.7,1203.4,,1490.9,63.95,61.55,458.45,1678.85,285.6,165.45,,,,74.9,27.1,,258.95,888.35,,,,,,,202.2,,301.7,244.75,54.75,1417.0,,,,,147.9,,,,2562.9,
2000-01-13,,418.7,,,,,376.0,881.4,1297.05,,1477.45,61.25,61.85,452.35,1813.2,283.85,165.1,,,,79.35,26.7,,272.5,879.75,,,,,,,198.85,,311.85,244.5,52.95,1492.5,,,,,148.85,,,,2480.25,
2000-01-14,,410.0,,,,,374.4,869.65,1280.7,,1473.5,62.35,62.45,434.95,1958.3,286.55,165.45,,,,79.0,25.95,,277.05,887.55,,,,,,,194.4,,316.3,239.2,54.0,1578.35,,,,,144.5,,,,2497.85,
